ejecutable;cantidadArchivo;tiempo;
kmpSearch;40;7.9607;2818725
kmpSearch;40;7.96126;2818725
kmpSearch;40;7.95372;2818725
kmpSearch;40;7.95538;2818725
kmpSearch;40;7.95331;2818725
kmpSearch;40;7.95718;2818725
kmpSearch;40;7.95996;2818725
kmpSearch;40;7.96002;2818725
kmpSearch;40;7.95679;2818725
kmpSearch;40;7.95637;2818725
kmpSearch;40;7.95689;2818725
kmpSearch;40;7.95111;2818725
kmpSearch;40;7.95033;2818725
rabinkarpSearch;10;2.31149;703546
rabinkarpSearch;10;2.31007;703546
rabinkarpSearch;10;2.30679;703546
rabinkarpSearch;10;2.30693;703546
rabinkarpSearch;10;2.30691;703546
rabinkarpSearch;10;2.3064;703546
rabinkarpSearch;10;2.30639;703546
rabinkarpSearch;10;2.30646;703546
rabinkarpSearch;10;2.30449;703546
rabinkarpSearch;10;2.30597;703546
rabinkarpSearch;10;2.30699;703546
rabinkarpSearch;10;2.30646;703546
rabinkarpSearch;10;2.3077;703546
rabinkarpSearch;10;2.3067;703546
rabinkarpSearch;10;2.30776;703546
rabinkarpSearch;10;2.3048;703546
rabinkarpSearch;10;2.30694;703546
rabinkarpSearch;10;2.30737;703546
rabinkarpSearch;10;2.30692;703546
rabinkarpSearch;10;2.30706;703546
rabinkarpSearch;20;4.6125;1415526
rabinkarpSearch;20;4.60637;1415526
rabinkarpSearch;20;4.60943;1415526
rabinkarpSearch;20;4.60965;1415526
rabinkarpSearch;20;4.6101;1415526
rabinkarpSearch;20;4.61123;1415526
rabinkarpSearch;20;4.6077;1415526
rabinkarpSearch;20;4.60837;1415526
rabinkarpSearch;20;4.60882;1415526
rabinkarpSearch;20;4.60902;1415526
rabinkarpSearch;20;4.60579;1415526
rabinkarpSearch;20;4.60701;1415526
rabinkarpSearch;20;4.60345;1415526
rabinkarpSearch;20;4.60527;1415526
rabinkarpSearch;20;4.60783;1415526
rabinkarpSearch;20;4.60997;1415526
rabinkarpSearch;20;4.60389;1415526
rabinkarpSearch;20;4.61163;1415526
rabinkarpSearch;20;4.6109;1415526
rabinkarpSearch;20;4.61342;1415526
rabinkarpSearch;30;6.92999;2113203
rabinkarpSearch;30;6.93604;2113203
rabinkarpSearch;30;6.93342;2113203
rabinkarpSearch;30;6.93497;2113203
rabinkarpSearch;30;6.93509;2113203
rabinkarpSearch;30;6.93674;2113203
rabinkarpSearch;30;6.93155;2113203
rabinkarpSearch;30;6.93586;2113203
rabinkarpSearch;30;6.93269;2113203
rabinkarpSearch;30;6.93283;2113203
rabinkarpSearch;30;6.93348;2113203
rabinkarpSearch;30;6.93187;2113203
rabinkarpSearch;30;6.93553;2113203
rabinkarpSearch;30;6.93656;2113203
rabinkarpSearch;30;6.94045;2113203
rabinkarpSearch;30;6.93525;2113203
rabinkarpSearch;30;6.93518;2113203
rabinkarpSearch;30;6.93567;2113203
rabinkarpSearch;30;6.93555;2113203
rabinkarpSearch;30;6.93378;2113203
