ejecutable;cantidadPatron;tiempo;
boyermooreSearch-largo;100;1.05065;20
boyermooreSearch-largo;100;1.03844;20
boyermooreSearch-largo;100;1.03849;20
boyermooreSearch-largo;100;1.03842;20
boyermooreSearch-largo;100;1.03825;20
boyermooreSearch-largo;100;1.03818;20
boyermooreSearch-largo;100;1.03813;20
boyermooreSearch-largo;100;1.03821;20
boyermooreSearch-largo;100;1.03883;20
boyermooreSearch-largo;100;1.03882;20
boyermooreSearch-largo;100;1.03766;20
boyermooreSearch-largo;100;1.03852;20
boyermooreSearch-largo;100;1.03836;20
boyermooreSearch-largo;100;1.03919;20
boyermooreSearch-largo;100;1.0388;20
boyermooreSearch-largo;100;1.03894;20
boyermooreSearch-largo;100;1.03937;20
boyermooreSearch-largo;100;1.03872;20
boyermooreSearch-largo;100;1.03804;20
boyermooreSearch-largo;100;1.03795;20
boyermooreSearch-largo;200;2.10158;40
boyermooreSearch-largo;200;2.10437;40
boyermooreSearch-largo;200;2.10105;40
boyermooreSearch-largo;200;2.1032;40
boyermooreSearch-largo;200;2.1044;40
boyermooreSearch-largo;200;2.1042;40
boyermooreSearch-largo;200;2.10215;40
boyermooreSearch-largo;200;2.1036;40
boyermooreSearch-largo;200;2.10089;40
boyermooreSearch-largo;200;2.12125;40
boyermooreSearch-largo;200;2.10744;40
boyermooreSearch-largo;200;2.103;40
boyermooreSearch-largo;200;2.10147;40
boyermooreSearch-largo;200;2.10162;40
boyermooreSearch-largo;200;2.10163;40
boyermooreSearch-largo;200;2.10122;40
boyermooreSearch-largo;200;2.10209;40
boyermooreSearch-largo;200;2.10254;40
boyermooreSearch-largo;200;2.10179;40
boyermooreSearch-largo;200;2.10373;40
boyermooreSearch-largo;300;3.35782;61
boyermooreSearch-largo;300;3.35732;61
boyermooreSearch-largo;300;3.35828;61
boyermooreSearch-largo;300;3.35672;61
boyermooreSearch-largo;300;3.3591;61
boyermooreSearch-largo;300;3.35799;61
boyermooreSearch-largo;300;3.35583;61
boyermooreSearch-largo;300;3.35533;61
boyermooreSearch-largo;300;3.35697;61
boyermooreSearch-largo;300;3.35621;61
boyermooreSearch-largo;300;3.35722;61
boyermooreSearch-largo;300;3.35771;61
boyermooreSearch-largo;300;3.35657;61
boyermooreSearch-largo;300;3.35515;61
boyermooreSearch-largo;300;3.35703;61
boyermooreSearch-largo;300;3.35501;61
boyermooreSearch-largo;300;3.3584;61
boyermooreSearch-largo;300;3.35761;61
boyermooreSearch-largo;300;3.36323;61
boyermooreSearch-largo;300;3.35433;61
boyermooreSearch-largo;500;5.56946;100
boyermooreSearch-largo;500;5.5691;100
boyermooreSearch-largo;500;5.56844;100
boyermooreSearch-largo;500;5.56656;100
boyermooreSearch-largo;500;5.57085;100
boyermooreSearch-largo;500;5.56413;100
boyermooreSearch-largo;500;5.57197;100
boyermooreSearch-largo;500;5.57227;100
boyermooreSearch-largo;500;5.56481;100
boyermooreSearch-largo;500;5.56545;100
boyermooreSearch-largo;500;5.57375;100
boyermooreSearch-largo;500;5.56968;100
boyermooreSearch-largo;500;5.56953;100
boyermooreSearch-largo;500;5.57495;100
boyermooreSearch-largo;500;5.56608;100
boyermooreSearch-largo;500;5.56737;100
boyermooreSearch-largo;500;5.5719;100
boyermooreSearch-largo;500;5.56948;100
boyermooreSearch-largo;500;5.57046;100
boyermooreSearch-largo;1000;11.0272;177
boyermooreSearch-largo;1000;11.0129;177
boyermooreSearch-largo;1000;11.0218;177
boyermooreSearch-largo;1000;11.0099;177
boyermooreSearch-largo;1000;11.0249;177
boyermooreSearch-largo;1000;11.0159;177
boyermooreSearch-largo;1000;11.0177;177
boyermooreSearch-largo;1000;11.0207;177
boyermooreSearch-largo;1000;11.0276;177
boyermooreSearch-largo;1000;11.0173;177
boyermooreSearch-largo;1000;11.0208;177
boyermooreSearch-largo;1000;11.0265;177
boyermooreSearch-largo;1000;11.0233;177
boyermooreSearch-largo;1000;11.0173;177
boyermooreSearch-largo;1000;11.0229;177
boyermooreSearch-largo;1000;11.0046;177
boyermooreSearch-largo;1000;11.0201;177
boyermooreSearch-largo;2000;22.0609;350
boyermooreSearch-largo;2000;22.0267;350
boyermooreSearch-largo;2000;22.0421;350
boyermooreSearch-largo;2000;22.0467;350
