ejecutable;tamañoPatron;tiempo;
kmpSearch;200;3.7024;0
kmpSearch;200;3.70253;0
kmpSearch;200;3.69912;0
kmpSearch;200;3.69151;0
kmpSearch;300;5.70403;0
kmpSearch;300;5.71024;0
kmpSearch;300;5.7111;0
kmpSearch;300;5.70653;0
kmpSearch;300;5.70149;0
kmpSearch;300;5.70614;0
kmpSearch;300;5.70412;0
kmpSearch;300;5.70133;0
kmpSearch;300;5.69986;0
kmpSearch;300;5.7044;0
kmpSearch;300;5.70321;0
kmpSearch;300;5.70473;0
kmpSearch;300;5.70873;0
kmpSearch;300;5.70502;0
kmpSearch;300;5.70746;0
kmpSearch;300;5.70668;0
kmpSearch;300;5.7029;0
kmpSearch;300;5.71043;0
kmpSearch;300;5.70287;0
kmpSearch;300;5.70533;0
kmpSearch;500;9.45695;0
kmpSearch;500;9.45796;0
kmpSearch;500;9.45964;0
kmpSearch;500;9.46761;0
kmpSearch;500;9.46536;0
kmpSearch;500;9.45923;0
kmpSearch;500;9.51068;0
kmpSearch;500;9.49419;0
kmpSearch;500;9.45692;0
kmpSearch;500;9.466;0
kmpSearch;500;9.4616;0
kmpSearch;500;9.4632;0
kmpSearch;500;9.45965;0
kmpSearch;500;9.45922;0
kmpSearch;500;9.45654;0
kmpSearch;500;9.46245;0
kmpSearch;500;9.46237;0
kmpSearch;500;9.46801;0
kmpSearch;500;9.46839;0
kmpSearch;500;9.48346;0
kmpSearch;1000;18.9473;0
kmpSearch;1000;18.9172;0
kmpSearch;1000;18.9262;0
kmpSearch;1000;18.9205;0
kmpSearch;1000;18.9176;0
kmpSearch;1000;18.9193;0
kmpSearch;1000;18.9161;0
kmpSearch;1000;18.9211;0
kmpSearch;1000;18.9219;0
kmpSearch;1000;18.9251;0
kmpSearch;1000;18.9282;0
kmpSearch;1000;18.911;0
kmpSearch;1000;18.9096;0
kmpSearch;1000;18.9201;0
kmpSearch;1000;18.9277;0
kmpSearch;1000;18.9133;0
kmpSearch;1000;18.9062;0
kmpSearch;1000;18.9169;0
kmpSearch;1000;18.9165;0
kmpSearch;1000;18.9149;0
kmpSearch;2000;37.7554;0
kmpSearch;2000;37.7645;0
kmpSearch;2000;37.7745;0
kmpSearch;2000;37.7644;0
kmpSearch;2000;37.7435;0
kmpSearch;2000;37.7625;0
kmpSearch;2000;37.749;0
kmpSearch;2000;37.7523;0
kmpSearch;2000;37.7682;0
kmpSearch;2000;37.7576;0
kmpSearch;2000;37.7572;0
kmpSearch;2000;37.763;0
kmpSearch;2000;37.7535;0
kmpSearch;2000;37.7511;0
kmpSearch;2000;37.7495;0
kmpSearch;2000;37.777;0
kmpSearch;2000;37.7283;0
kmpSearch;2000;37.757;0
kmpSearch;2000;37.7596;0
kmpSearch;2000;37.76;0
rabinkarpSearch;100;2.13253;0
rabinkarpSearch;100;2.13977;0
rabinkarpSearch;100;2.13295;0
rabinkarpSearch;100;2.13259;0
rabinkarpSearch;100;2.1326;0
rabinkarpSearch;100;2.13155;0
rabinkarpSearch;100;2.12993;0
rabinkarpSearch;100;2.132;0
rabinkarpSearch;100;2.13105;0
rabinkarpSearch;100;2.13168;0
rabinkarpSearch;100;2.13154;0
rabinkarpSearch;100;2.13391;0
rabinkarpSearch;100;2.13019;0
rabinkarpSearch;100;2.13342;0
rabinkarpSearch;100;2.13276;0
rabinkarpSearch;100;2.13265;0
rabinkarpSearch;100;2.13302;0
rabinkarpSearch;100;2.13297;0
rabinkarpSearch;100;2.13215;0
rabinkarpSearch;100;2.1327;0
rabinkarpSearch;200;4.26175;0
rabinkarpSearch;200;4.26295;0
rabinkarpSearch;200;4.26253;0
rabinkarpSearch;200;4.26255;0
rabinkarpSearch;200;4.26485;0
rabinkarpSearch;200;4.26107;0
rabinkarpSearch;200;4.2627;0
rabinkarpSearch;200;4.25883;0
rabinkarpSearch;200;4.26307;0
rabinkarpSearch;200;4.26182;0
rabinkarpSearch;200;4.26475;0
rabinkarpSearch;200;4.26195;0
rabinkarpSearch;200;4.26371;0
rabinkarpSearch;200;4.26081;0
rabinkarpSearch;200;4.26275;0
rabinkarpSearch;200;4.26245;0
rabinkarpSearch;200;4.26172;0
rabinkarpSearch;200;4.25797;0
rabinkarpSearch;200;4.26322;0
rabinkarpSearch;200;4.26228;0
rabinkarpSearch;300;6.393;0
rabinkarpSearch;300;6.38967;0
rabinkarpSearch;300;6.39568;0
rabinkarpSearch;300;6.39479;0
rabinkarpSearch;300;6.39675;0
rabinkarpSearch;300;6.39529;0
rabinkarpSearch;300;6.39712;0
rabinkarpSearch;300;6.39841;0
rabinkarpSearch;300;6.39393;0
rabinkarpSearch;300;6.39571;0
rabinkarpSearch;300;6.38752;0
rabinkarpSearch;300;6.39722;0
rabinkarpSearch;300;6.39751;0
rabinkarpSearch;300;6.38893;0
rabinkarpSearch;300;6.39305;0
rabinkarpSearch;300;6.3953;0
rabinkarpSearch;300;6.3971;0
rabinkarpSearch;300;6.39704;0
rabinkarpSearch;300;6.39673;0
rabinkarpSearch;300;6.39789;0
rabinkarpSearch;500;10.6561;0
rabinkarpSearch;500;10.6651;0
rabinkarpSearch;500;10.6525;0
rabinkarpSearch;500;10.6565;0
rabinkarpSearch;500;10.6579;0
rabinkarpSearch;500;10.6612;0
rabinkarpSearch;500;10.6579;0
rabinkarpSearch;500;10.6536;0
rabinkarpSearch;500;10.6605;0
rabinkarpSearch;500;10.6551;0
rabinkarpSearch;500;10.655;0
rabinkarpSearch;500;10.6511;0
rabinkarpSearch;500;10.659;0
rabinkarpSearch;500;10.6597;0
rabinkarpSearch;500;10.6608;0
rabinkarpSearch;500;10.6605;0
rabinkarpSearch;500;10.6587;0
rabinkarpSearch;500;10.66;0
rabinkarpSearch;500;10.658;0
rabinkarpSearch;500;10.6637;0
rabinkarpSearch;1000;21.2988;0
rabinkarpSearch;1000;21.3158;0
rabinkarpSearch;1000;21.3182;0
rabinkarpSearch;1000;21.3176;0
rabinkarpSearch;1000;21.3188;0
rabinkarpSearch;1000;21.3153;0
rabinkarpSearch;1000;21.2979;0
rabinkarpSearch;1000;21.3145;0
rabinkarpSearch;1000;21.3117;0
rabinkarpSearch;1000;21.3178;0
rabinkarpSearch;1000;21.322;0
rabinkarpSearch;1000;21.3202;0
rabinkarpSearch;1000;21.303;0
rabinkarpSearch;1000;21.3191;0
rabinkarpSearch;1000;21.3218;0
rabinkarpSearch;1000;21.3186;0
rabinkarpSearch;1000;21.3028;0
rabinkarpSearch;1000;21.3067;0
rabinkarpSearch;1000;21.3111;0
rabinkarpSearch;1000;21.3017;0
rabinkarpSearch;2000;42.6341;0
rabinkarpSearch;2000;42.6518;0
rabinkarpSearch;2000;42.6364;0
rabinkarpSearch;2000;42.6513;0
rabinkarpSearch;2000;42.6314;0
rabinkarpSearch;2000;42.6113;0
rabinkarpSearch;2000;42.6275;0
rabinkarpSearch;2000;42.6283;0
rabinkarpSearch;2000;42.6487;0
rabinkarpSearch;2000;42.6396;0
rabinkarpSearch;2000;42.6373;0
rabinkarpSearch;2000;42.6268;0
rabinkarpSearch;2000;42.6256;0
rabinkarpSearch;2000;42.6271;0
rabinkarpSearch;2000;42.6271;0
rabinkarpSearch;2000;42.6298;0
