ejecutable;tamañoPatron;tiempo;
kmpSearch;200;3.6837;4711
kmpSearch;200;3.66658;4711
kmpSearch;200;3.66738;4711
kmpSearch;200;3.66483;4711
kmpSearch;200;3.66432;4711
kmpSearch;200;3.66519;4711
kmpSearch;200;3.66421;4711
kmpSearch;300;5.79328;7923
kmpSearch;300;5.79575;7923
kmpSearch;300;5.79455;7923
kmpSearch;300;5.79768;7923
kmpSearch;300;5.79262;7923
kmpSearch;300;5.795;7923
kmpSearch;300;5.79729;7923
kmpSearch;300;5.79366;7923
kmpSearch;300;5.79635;7923
kmpSearch;300;5.79644;7923
kmpSearch;300;5.79636;7923
kmpSearch;300;5.79623;7923
kmpSearch;300;5.79081;7923
kmpSearch;300;5.79553;7923
kmpSearch;300;5.79601;7923
kmpSearch;300;5.79506;7923
kmpSearch;300;5.81783;7923
kmpSearch;300;5.79738;7923
kmpSearch;300;5.80014;7923
kmpSearch;300;5.80624;7923
kmpSearch;500;9.43617;13520
kmpSearch;500;9.44463;13520
kmpSearch;500;9.4409;13520
kmpSearch;500;9.43878;13520
kmpSearch;500;9.44337;13520
kmpSearch;500;9.44389;13520
kmpSearch;500;9.44476;13520
kmpSearch;500;9.43994;13520
kmpSearch;500;9.44568;13520
kmpSearch;500;9.4431;13520
kmpSearch;500;9.44621;13520
kmpSearch;500;9.43728;13520
kmpSearch;500;9.44487;13520
kmpSearch;500;9.43816;13520
kmpSearch;500;9.44418;13520
kmpSearch;500;9.43407;13520
kmpSearch;500;9.46675;13520
kmpSearch;500;9.44184;13520
kmpSearch;500;9.44089;13520
kmpSearch;500;9.43482;13520
kmpSearch;1000;18.7767;24400
kmpSearch;1000;18.7768;24400
kmpSearch;1000;18.7818;24400
kmpSearch;1000;18.7677;24400
kmpSearch;1000;18.7724;24400
kmpSearch;1000;18.7793;24400
kmpSearch;1000;18.7754;24400
kmpSearch;1000;18.7869;24400
kmpSearch;1000;18.7674;24400
kmpSearch;1000;18.7709;24400
